Coords,Mags F555,Mags F336,Aperture Radius
"(223, 447)",23.489853176785154,21.10570875168124,8
"(335, 447)",22.244832455101502,20.008911738403974,8
"(468, 450)",22.928211607347073,20.814221520773934,8
"(636, 450)",22.993082907834115,22.005328593185176,8
"(642, 451)",22.42511684752653,20.17286144923417,8
"(719, 451)",24.44652576620016,21.883338970732858,8
"(636, 452)",22.85852585920373,22.005328593185176,8
"(664, 452)",22.246266826381223,20.078511314126324,8
"(666, 452)",22.25873351404652,20.048914470340215,8
"(356, 453)",22.34513517703337,20.51644317282821,8
"(358, 453)",23.172233907957484,20.51644317282821,8
"(517, 453)",19.574646916685502,17.554160407019275,8
"(618, 453)",22.877434975469328,21.338700081235515,8
"(638, 453)",23.47954684559786,20.463699800551886,8
"(640, 453)",22.372369579012577,20.463699800551886,8
"(642, 453)",22.02506816373556,19.79590356336339,8
"(635, 454)",22.63732550139224,20.68840319342275,8
"(644, 454)",22.19926491673774,20.027225785005918,8
"(665, 454)",22.105723193155946,19.939187324097425,8
"(667, 454)",22.22783516182153,20.096634630212577,8
"(496, 455)",21.073495431359376,19.524066697692554,8
"(517, 455)",19.57465637439382,17.554160407019275,8
"(555, 455)",23.696046044590226,21.850502338562954,8
"(637, 455)",22.561173575853843,21.13897563655616,8
"(641, 455)",22.042079863686247,19.838860796859386,8
"(210, 456)",21.133011917253576,19.90156104918561,8
"(635, 456)",22.8508629204755,20.607911398246728,8
"(643, 456)",22.217946929658893,19.838860796859386,8
"(554, 457)",23.805486266760276,22.57023956483321,8
"(370, 458)",19.66787420718031,18.512855898864565,8
"(274, 459)",23.145093287230985,20.746823581953414,8
"(554, 459)",25.615040868435806,22.57023956483321,8
"(435, 462)",23.14039252928341,20.931995871309503,8
"(466, 464)",21.09123125083122,19.92882087247957,8
"(468, 464)",21.204974957553553,20.364971426963926,8
"(485, 464)",23.073679275422954,20.82340508064855,8
"(487, 465)",23.761594073793226,21.85339929618211,8
"(623, 465)",22.759068185867598,21.586936973773717,8
"(465, 466)",20.957897145386703,19.503048630218295,8
"(467, 466)",21.1685327621824,20.222539942668682,8
