Coord,amplitude,xcentroid,ycentroid,sigx,sigy,ellipticity,SNR,Magnitudes,Reason
"(563, 726)",0.0016143604167192997,8.499999980703638,8.499999980714213,0.24485312605963275,0.2448531198235543,2.546864952268635e-08,12.215302237466087,23.125369324637113,Bad sizing
"(565, 726)",0.0016162985101082755,8.499999980801663,8.499999980741467,0.24485312666566358,0.2448531196823799,2.8520296124767697e-08,19.667626654174345,22.63445301566467,Bad sizing
"(8, 727)",0.01822274495659535,9.00026006155979,9.004838523449132,0.2737809660436868,0.2502629686532549,0.08590077582924127,62.50097970361965,20.696462776186593,Bad sizing
"(21, 727)",0.03512840277323548,8.999999966716745,7.504527541630959,0.2596700152684394,0.3478694184132947,0.2535416983394265,16.04681317961488,22.37767358747208,Bad sizing
"(593, 727)",0.001110920099707261,8.500148841761526,8.500510059000908,0.2599001570726598,0.2675075287757922,0.02843797233650358,39.70146950929714,22.04318761553033,Bad sizing
"(658, 727)",0.003192648790694194,8.499999951664025,8.49999992949511,0.23214020951196881,0.2321575509914871,7.4697029858517e-05,29.275344262189396,21.047479051241588,Bad sizing
"(23, 728)",0.028917340412361225,9.43966719750516,8.07436437737488,0.37936006146294926,0.24743891410758528,0.3477465362237354,83.0861972407109,20.825120090569648,Bad sizing
"(34, 728)",0.030056560313303414,9.475141446176842,8.853982764442769,0.38045313095850336,0.2094521034724161,0.44946673734888676,805.9202484847311,18.62151528117934,"Not elliptical,Bad sizing"
"(595, 728)",0.0016095489789583308,8.867068759057503,8.867069032365794,0.30619125770684363,0.3061913859661501,4.1888607038576e-07,17.069154039581342,22.924375698001946,Bad sizing
"(656, 728)",0.0031616441496122452,8.499991557834846,8.499971475083296,0.23224317970448555,0.23359517384633338,0.005787765729857175,84.15010344164014,20.007661590483167,Bad sizing
"(9, 729)",0.034187480875994034,5.5015933718231285,8.42097338055552,1.5059803565262282,0.282083366138696,0.812691204824634,9.527323778616077,22.4756655273872,"Not elliptical,Bad sizing"
"(11, 729)",0.03647082715161442,7.541675016051023,10.000118570839287,0.37512807478659604,0.22906798552751448,0.389360591958287,3.5502962872611024,23.538600950038443,Bad sizing
"(19, 729)",0.04006296302232684,9.000001578384381,7.457292376741624,0.22869475856027185,0.3730412469687112,0.3869451155371738,88.15969835153639,20.77374097009836,Bad sizing
"(25, 729)",0.0012557466075435936,8.499817120519872,8.499698638109344,0.261864922305222,0.2728340086888472,0.04020424886303253,7.31364188212198,23.263782286770684,Bad sizing
"(340, 729)",0.005042190081398546,8.49999998159685,8.499999977614923,0.23213922264760395,0.23213859768254758,2.692199315812438e-06,10.937297592955971,22.12027887896258,Bad sizing
"(540, 729)",0.004872144187752258,8.531483483396432,8.24948965457042,0.23748709829101275,0.22424140483960933,0.0557743706783278,250.4714832604102,19.442910930278977,Bad sizing
